"date","RWR","ACC ","AEC ","AHP ","AHT ","AIV ","AKR ","AMH ","ARE ","AVB ","BDN ","BEE ","BFS ","BMR ","BRX ","BXP ","CBL ","CDR ","CLI ","CPT ","CUBE ","CUZ ","CXP ","DCT ","DDR ","DEI ","DFT ","DLR ","DRE ","DRH ","EDR ","EGP ","ELS ","EQC ","EQR ","EQY ","ESS ","EXR ","FCH ","FPO ","FR ","FRT ","FSP ","GGP ","GRT ","HCN ","HCP ","HIW ","HME ","HPT ","HR ","HST ","HT ","IRC ","KIM ","KRC ","KRG ","LHO ","LPT ","LTC ","MAA ","MAC ","OFC ","PDM ","PEB ","PEI ","PKY ","PLD ","PPS ","PSA ","PSB ","REG ","RPT ","RSE ","SBY ","SHO ","SKT ","SLG ","SNH ","SPG ","SSS ","SUI ","TCO ","UDR ","UHT ","VNO ","VTR ","WPG ","WRE ","WRI "
1999-01-29,NA,NA,-0.0358208955223881,NA,NA,-0.0164787510841283,-0.0263157894736841,NA,-0.0821114369501467,-0.0552220888355343,-0.0899053627760252,NA,-0.0446428571428571,NA,NA,0.0721220527045769,-0.0340136054421769,-0.0835266821345706,-0.0497287522603979,-0.040797824116047,NA,-0.0351351351351352,NA,NA,-0.0889526542324247,NA,NA,NA,-0.0101351351351353,NA,NA,-0.0129533678756476,-0.0462046204620461,-0.00895036615134248,-0.00315789473684203,-0.0155763239875388,-0.0554830287206266,NA,-0.0571428571428571,NA,-0.0461270670147954,-0.0212765957446809,NA,-0.0950639853747715,-0.0404312668463611,-0.011015911872705,-0.0557620817843866,-0.0601336302895324,0.0213197969543149,0.0227272727272727,0.00966183574879231,-0.244943820224719,0,NA,-0.00514579759862788,-0.0617760617760617,NA,0.0858143607705779,-0.0407239819004525,-0.0273722627737227,0.0409145607701564,-0.0500963391136803,0.072289156626506,NA,NA,-0.0099009900990098,0.0391404451266308,0.0111317254174399,-0.039906103286385,-0.0704500978473581,-0.0295774647887324,-0.038751345532831,0.021551724137931,NA,NA,NA,-0.0745614035087719,-0.0796529968454258,NA,-0.0728269381362568,-0.0042826552462526,-0.0285714285714287,NA,-0.0642673521850899,0.0403726708074534,0.0310366232153942,-0.0552147239263803,NA,-0.0272373540856031,-0.123609394313968
1999-02-26,NA,NA,-0.111455108359133,NA,NA,0.0705467372134039,0.0495495495495495,NA,0.0242811501597444,-0.0152477763659467,-0.00346620450606583,NA,0.00934579439252348,NA,NA,-0.00582147477360939,0.011737089201878,0.018987341772152,-0.0313986679352998,-0.0151228733459358,NA,-0.0616246498599439,NA,NA,-0.0456692913385827,NA,NA,NA,-0.0375426621160407,NA,NA,-0.0446194225721784,-0.0173010380622838,-0.022167487684729,0.00422386483632509,0.0158227848101264,-0.0131306150656532,NA,0.0835380835380835,NA,0.00729927007299258,-0.0407608695652173,NA,-0.0242424242424243,-0.0196629213483146,-0.0693069306930694,0.0137795275590551,0.014218009478673,-0.0337972166998012,-0.0355555555555556,-0.127591706539075,-0.0282738095238094,-0.0123456790123457,NA,-0.0310344827586206,-0.0123456790123457,NA,-0.0451612903225806,-0.0742924528301888,-0.210131332082552,-0.0404624277456647,0.00608519269776875,-0.0224719101123596,NA,NA,-0.0233333333333333,-0.167651403249631,-0.0504587155963303,-0.0421760391198044,0.00210526315789461,0.0195936139332367,-0.0291153415453527,0.0189873417721518,NA,NA,NA,-0.00947867298578198,-0.0462724935732647,NA,-0.0143581081081081,-0.0580645161290324,-0.0649087221095334,NA,0,-0.0298507462686567,-0.0144491270319084,-0.294372294372294,NA,-0.08,0.0648801128349787
1999-03-31,NA,NA,0,NA,NA,-0.0741350906095553,0,NA,-0.0823456019962571,0.0258064516129033,0.0121739130434784,NA,0,NA,NA,-0.00780741704619381,-0.0464037122969836,-0.0906832298136646,0.0157170923379175,0.0316698656429943,NA,0,NA,NA,-0.0759075907590759,NA,NA,NA,-0.0141843971631207,NA,NA,-0.0590659340659342,0.0492957746478875,-0.0142737195633921,0.0241850683491063,-0.0218068535825545,-0.057422969187675,NA,-0.018896447467876,NA,-0.0507246376811593,-0.0188857412653446,NA,-0.0248447204968945,0.00286532951289398,-0.0731382978723404,-0.021359223300971,-0.0151869158878506,-0.058641975308642,0.0506912442396314,-0.0182815356489945,0.0490045941807042,-0.03125,NA,-0.0231316725978647,-0.028125,NA,0.111486486486486,-0.0305732484076432,0.00475059382422804,-0.03855421686747,-0.0645161290322581,-0.160919540229885,NA,NA,-0.0204778156996587,0.0860692102928129,0.00483091787439616,0.0357370772176133,-0.011204481792717,-0.0412811387900356,-0.0749711649365629,0.0393374741200827,NA,NA,NA,-0.0382775119617226,-0.00628930817610063,NA,0.0779777206512424,-0.00342465753424648,0.0260303687635575,NA,0.0384615384615383,0.00923076923076915,0.00366524129505175,-0.257668711656442,NA,0.00869565217391299,-0.0384105960264901
1999-04-30,NA,NA,0.149825783972125,NA,NA,0.105871886120996,0.03862660944206,NA,0.0666213460231135,0.0981132075471698,0.161512027491409,NA,0.104938271604938,NA,NA,0.148196721311475,0.0559610705596105,-0.0751366120218581,0.0735009671179885,0.0911627906976744,NA,0.201492537313433,NA,NA,0.105357142857143,NA,NA,NA,0.093525179856115,NA,NA,0.121167883211679,0.0553691275167785,0.111584327086883,0.121149897330596,0.0414012738853502,0.208023774145617,NA,0.0570107858243452,NA,0.122137404580153,0.127045235803657,NA,0.13588110403397,0.177142857142857,0.119081779053085,0.0992063492063493,0.0925266903914592,0.119125683060109,0.0906432748538011,0.147113594040968,0.195620437956204,-0.0387096774193548,NA,0.0819672131147542,0.14898177920686,NA,0.0607902735562311,0.162943495400788,0.106382978723404,0.140350877192982,0.126077586206897,0.136986301369863,NA,NA,0.104529616724739,0.02859477124183,0.0596153846153846,0.0936537276648182,0.114730878186969,0.0660727542687454,0.153366583541147,-0.00996015936254979,NA,NA,NA,0.378109452736318,0.0560578661844484,NA,0.0461049284578696,0.0744558991981672,0.102536997885835,NA,0.0873015873015874,0.0259146341463417,0.130249543517955,-0.247933884297521,NA,0.038793103448276,0.0454545454545454
1999-05-28,NA,NA,0.0424242424242425,NA,NA,0.0643604183427193,0,NA,0.121733588272785,0.0108820160366552,0.029585798816568,NA,0.0796089385474861,NA,NA,-0.0102798400913765,0.0506912442396312,0.0487444608567209,0.0459459459459459,0.0161977834612106,NA,0.00248447204968949,NA,NA,0.0436187399030694,NA,NA,NA,-0.0043859649122806,NA,NA,0.123697916666667,0.0222575516693164,0.0467432950191571,0.0366300366300367,0.0856269113149846,0.0178351783517834,NA,-0.0517492711370263,NA,0.00765306122448983,-0.0315969257045261,NA,0.0448598130841122,0,0.0525641025641026,-0.0180505415162454,0.0456026058631922,0.025390625,-0.0589812332439679,0.0162337662337662,-0.0610500610500609,0.080536912751678,NA,0.0168350168350169,0.0503731343283582,NA,0.0272206303724927,0,0,-0.0450549450549451,0.0545454545454547,0.0933734939759037,NA,NA,0.0283911671924291,0.139793486894361,0.0226860254083485,0.056338028169014,0.0470139771283355,0.0640668523676879,0.0421621621621622,0.00201207243460777,NA,NA,NA,-0.0324909747292418,0.0950342465753424,NA,0.0372340425531914,0.0202558635394456,0.0450623202301055,NA,0.0170316301703162,-0.00594353640416045,0.00646203554119551,0.192307692307692,NA,0.0484094052558783,0.0303030303030303
1999-06-30,NA,NA,0.0348837209302326,NA,NA,0.0181405895691611,0.00826446280991733,NA,0.00170454545454524,0.061756373937677,0.0402298850574714,NA,-0.0297542043984477,NA,NA,0.010386612810156,0.0416666666666667,-0.052112676056338,-0.0439276485788114,0.0310402684563758,NA,-0.0198265179677819,NA,NA,0.0433436532507741,NA,NA,NA,-0.0220264317180616,NA,NA,0.00579374275782141,0.020217729393468,0,-0.0459363957597173,0.0309859154929579,0.11963746223565,NA,-0.0853189853958493,NA,0.0362869198312237,0.0105820105820107,NA,-0.0644007155635061,-0.00485436893203894,-0.0596833130328869,-0.047794117647059,0.0404984423676011,0.0600000000000001,0,-0.0223642172523961,-0.0325097529258778,-0.00621118012422361,NA,-0.00496688741721862,0.00266429840142091,NA,0.0892608089260809,0.0497175141242938,-0.00213675213675213,0.0172612197928654,-0.00725952813067154,0.0468319559228649,NA,NA,0.00920245398773023,0.0153310104529618,0.0443655723158829,-0.00373333333333337,-0.033373786407767,-0.0104712041884817,-0.00518672199170134,0.0562248995983934,NA,NA,NA,0.0410447761194028,-0.0445660672400312,NA,-0.132600732600733,0.0804597701149425,-0.0293577981651376,NA,0.0622009569377993,0.0134529147982063,-0.0898876404494382,0,NA,-0.0303430079155673,-0.00511508951406647
1999-07-30,NA,NA,-0.0814606741573034,NA,NA,-0.0452858203414997,-0.0450819672131147,NA,-0.0442427680090753,-0.0827107790821771,-0.0566298342541437,NA,-0.0533333333333333,NA,NA,-0.0451170759565964,-0.0463157894736842,-0.00742942050520068,-0.0792792792792792,0.0138323840520751,NA,0.0872313527180784,NA,NA,-0.103857566765579,NA,NA,NA,-0.0304054054054056,NA,NA,-0.0714285714285713,-0.0685975609756097,-0.0490483162518301,-0.0833333333333334,0.0382513661202184,-0.0464112250404749,NA,-0.0352941176470588,NA,-0.0570032573289901,-0.0139616055846422,NA,-0.0688336520076482,0.00243902439024413,-0.0297927461139896,-0.0617760617760617,-0.143712574850299,-0.00628930817610063,0.0313390313390314,-0.00653594771241828,-0.131720430107527,0.0249999999999999,NA,-0.0415973377703827,-0.0770593445527015,NA,0,-0.0495156081808396,-0.0535331905781584,-0.0305429864253394,-0.0712979890310785,0.023684210526316,NA,NA,-0.0364741641337386,0.00411805078929306,-0.0280373831775701,-0.024625267665953,-0.0828625235404896,0,-0.0375391032325338,-0.0228136882129277,NA,NA,NA,-0.00358422939068104,0.0122749590834696,NA,0.0472972972972974,-0.0735009671179884,-0.0245746691871456,NA,-0.00450450450450457,-0.0545722713864307,0.00176366843033504,-0.175115207373272,NA,-0.00272108843537411,-0.0334190231362469
1999-08-31,NA,NA,-0.113149847094801,NA,NA,0.020217729393468,0.0472103004291844,NA,-0.0183976261127597,0.0383944153577662,-0.0395314787701319,NA,0.0112676056338028,NA,NA,-0.0275119617224879,-0.0110375275938189,-0.0119760479041916,0.0136986301369861,-0.0136436597110756,NA,-0.0127906976744185,NA,NA,-0.0115894039735099,NA,NA,NA,0.0441347270615564,NA,NA,0,0.00654664484451728,-0.0223248652809854,0.0656565656565657,0.0473684210526317,0.0260328239954724,NA,-0.0801393728222997,NA,-0.00949913644214162,-0.0327433628318585,NA,0.00616016427104737,-0.0705596107055962,-0.0854472630173565,-0.0144032921810701,0.0815850815850816,0.00180831826401451,-0.0138121546961326,-0.00657894736842102,-0.102167182662539,-0.0853658536585366,NA,-0.00694444444444442,0.0191938579654509,NA,-0.0345710627400768,0.0362400906002265,-0.0904977375565612,-0.00233372228704776,0.0492125984251968,-0.0154241645244216,NA,NA,0.0110410094637226,-0.00751879699248126,-0.0437062937062938,0.021953896816685,0.0123203285420945,-0.0767195767195766,0.0173347778981583,-0.0603112840466925,NA,NA,NA,-0.039568345323741,0.00646725949878735,NA,-0.0217741935483871,-0.0636743215031315,0.0474806201550388,NA,-0.0158371040723982,0.0140405616224648,-0.0305164319248826,-0.139664804469274,NA,-0.0450204638472033,0
1999-09-30,NA,NA,-0.0137931034482759,NA,NA,-0.0670731707317073,0,NA,0.00423216444981867,-0.023529411764706,-0.073170731707317,NA,0.0208913649025071,NA,NA,-0.0651906519065192,0.00223214285714279,0.0136363636363637,-0.0550193050193051,-0.0122050447518306,NA,-0.0541813898704359,NA,NA,-0.0402010050251255,NA,NA,NA,-0.130144605116796,NA,NA,-0.00620347394540954,-0.0260162601626016,-0.188976377952756,-0.0199052132701423,0.0201005025125627,0.0253723110865969,NA,-0.0246212121212122,NA,-0.0104620749782041,-0.0430009149130831,NA,-0.053061224489796,-0.00785340314136118,-0.00583941605839422,0.00835073068893522,0.0431034482758621,-0.0117328519855596,-0.175070028011205,-0.0778145695364238,0.05,-0.0333333333333333,NA,-0.0402097902097901,-0.059322033898305,NA,-0.103448275862069,-0.0524590163934426,-0.0174129353233829,-0.0140350877192984,-0.076923076923077,-0.0600522193211488,NA,NA,-0.0530421216848673,-0.00757575757575757,-0.0146252285191957,-0.0209452201933406,-0.0229885057471264,0.167621776504298,0,0.0289855072463767,NA,NA,NA,-0.0599250936329588,0.00240963855421694,NA,-0.120362737015664,-0.00557413600891865,-0.0749306197964847,NA,-0.00459770114942515,-0.0230769230769231,-0.0405569007263923,0.246753246753247,NA,-0.00428571428571434,-0.0571808510638298
1999-10-29,NA,NA,-0.0104895104895104,NA,NA,-0.0163398692810458,-0.0368852459016393,NA,-0.00903070439494269,-0.0390131956397016,0.0345394736842106,NA,-0.0763983628922238,NA,NA,-0.0282894736842105,-0.0890868596881961,-0.198804185351271,-0.0183861082737486,0.0074135090609555,NA,-0.0660024906600248,NA,NA,0.0174520069808026,NA,NA,NA,0.00639386189258317,NA,NA,0.00998751560549316,-0.001669449081803,-0.021359223300971,-0.0135396518375243,-0.0369458128078817,-0.0683162990855298,NA,0.0019417475728154,NA,-0.00264317180616735,-0.111854684512428,NA,-0.0668103448275861,0.0105540897097625,-0.0778267254038179,0.0289855072463767,-0.055785123966942,0,-0.0169779286926994,0.0269299820466786,-0.0525451559934319,0.0344827586206897,NA,-0.0291438979963571,-0.0920920920920921,NA,0.00147928994082847,0.033448673587082,0,0.0557532621589563,-0.135162601626016,-0.0416666666666666,NA,NA,-0.0131795716639209,-0.0506592643997225,-0.0463821892393321,-0.0175534832693363,-0.0422145328719723,-0.129447852760736,-0.0564430244941428,-0.0865191146881287,NA,NA,NA,-0.0278884462151394,-0.112980769230769,NA,0.028116213683224,-0.0426008968609867,-0.0210000000000001,NA,0,-0.0629921259842519,-0.0246056782334384,0.0260416666666667,NA,-0.0315638450502151,0.0225669957686883
